04-11-2025 15:21:45 RAM 2693/6855MB (lfb 89x1MB) SWAP 80/3427MB (cached 0MB) CPU [24%@1420,22%@1420,88%@1417,7%@1417,14%@1417,14%@1417] EMC_FREQ 0% GR3D_FREQ 0% AUX@43C CPU@44C thermal@43.3C AO@42.5C GPU@42.5C PMIC@50C
04-11-2025 15:21:46 RAM 2804/6855MB (lfb 89x1MB) SWAP 80/3427MB (cached 0MB) CPU [3%@1420,1%@1420,98%@1420,0%@1420,1%@1420,1%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@43C CPU@44C thermal@43.15C AO@42.5C GPU@42.5C PMIC@50C
04-11-2025 15:21:47 RAM 2926/6855MB (lfb 89x1MB) SWAP 80/3427MB (cached 0MB) CPU [3%@1420,2%@1420,99%@1420,0%@1420,15%@1420,1%@1420] EMC_FREQ 0% GR3D_FREQ 5% AUX@43C CPU@44C thermal@43.5C AO@42.5C GPU@43C PMIC@50C
04-11-2025 15:21:48 RAM 3058/6855MB (lfb 89x1MB) SWAP 80/3427MB (cached 0MB) CPU [3%@1420,1%@1420,98%@1420,0%@1420,1%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@43C CPU@43.5C thermal@43.3C AO@42.5C GPU@42.5C PMIC@50C
04-11-2025 15:21:49 RAM 3189/6855MB (lfb 62x1MB) SWAP 80/3427MB (cached 0MB) CPU [2%@1420,1%@1420,98%@1420,0%@1420,1%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 6% AUX@43C CPU@44C thermal@43.15C AO@42.5C GPU@43C PMIC@50C
04-11-2025 15:21:50 RAM 3290/6855MB (lfb 40x1MB) SWAP 80/3427MB (cached 0MB) CPU [3%@1420,2%@1420,98%@1420,1%@1420,0%@1420,14%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@43C CPU@44C thermal@43.3C AO@42.5C GPU@43C PMIC@50C
04-11-2025 15:21:51 RAM 3290/6855MB (lfb 39x1MB) SWAP 80/3427MB (cached 0MB) CPU [3%@1420,1%@1420,100%@1420,0%@1420,1%@1420,1%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@43C CPU@44C thermal@43.15C AO@42.5C GPU@42.5C PMIC@50C
04-11-2025 15:21:52 RAM 3329/6855MB (lfb 20x1MB) SWAP 80/3427MB (cached 0MB) CPU [7%@1420,56%@1420,41%@1420,2%@1420,17%@1420,2%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@43C CPU@44C thermal@43.5C AO@42.5C GPU@42.5C PMIC@50C
04-11-2025 15:21:53 RAM 3296/6855MB (lfb 31x1MB) SWAP 80/3427MB (cached 0MB) CPU [25%@1420,8%@1420,39%@1420,8%@1420,26%@1420,41%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@43C CPU@44C thermal@43.5C AO@42.5C GPU@43C PMIC@50C
04-11-2025 15:21:54 RAM 3323/6855MB (lfb 25x1MB) SWAP 80/3427MB (cached 0MB) CPU [5%@1420,26%@1420,24%@1420,3%@1420,37%@1420,58%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@43C CPU@44.5C thermal@43.3C AO@42.5C GPU@42.5C PMIC@50C
04-11-2025 15:21:55 RAM 3292/6855MB (lfb 30x1MB) SWAP 80/3427MB (cached 0MB) CPU [10%@1420,19%@1420,41%@1420,6%@1420,47%@1420,37%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@43C CPU@44C thermal@43.3C AO@42.5C GPU@43C PMIC@50C
04-11-2025 15:21:56 RAM 3319/6855MB (lfb 28x1MB) SWAP 80/3427MB (cached 0MB) CPU [5%@1420,3%@1420,4%@1420,57%@1420,73%@1420,2%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@43C CPU@44C thermal@43.3C AO@42.5C GPU@43C PMIC@50C
04-11-2025 15:21:57 RAM 3293/6855MB (lfb 27x1MB) SWAP 80/3427MB (cached 0MB) CPU [9%@1267,17%@1267,63%@1267,13%@1267,41%@1267,2%@1267] EMC_FREQ 0% GR3D_FREQ 0% AUX@43C CPU@44C thermal@43.15C AO@42.5C GPU@43C PMIC@50C
04-11-2025 15:21:58 RAM 3313/6855MB (lfb 28x1MB) SWAP 80/3427MB (cached 0MB) CPU [19%@1420,42%@1420,34%@1420,24%@1420,50%@1420,17%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@43C CPU@44.5C thermal@43.3C AO@42.5C GPU@42.5C PMIC@50C
04-11-2025 15:21:59 RAM 3292/6855MB (lfb 28x1MB) SWAP 80/3427MB (cached 0MB) CPU [45%@1420,4%@1420,56%@1420,10%@1420,7%@1420,26%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@43C CPU@44C thermal@43.15C AO@42.5C GPU@43C PMIC@50C
