04-21-2025 15:09:39 RAM 1545/6855MB (lfb 18x2MB) SWAP 231/3427MB (cached 3MB) CPU [50%@1420,54%@1420,30%@1420,25%@1415,30%@1420,100%@1419] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@44.5C CPU@46C thermal@44.75C AO@44C GPU@44.5C PMIC@50C VDD_IN 7045mW/7045mW VDD_CPU_GPU_CV 2167mW/2167mW VDD_SOC 1469mW/1469mW
04-21-2025 15:09:39 RAM 1554/6855MB (lfb 14x2MB) SWAP 231/3427MB (cached 3MB) CPU [91%@1417,81%@1420,75%@1416,66%@1420,58%@1420,63%@1420] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@44.5C CPU@46.5C thermal@44.75C AO@43.5C GPU@44.5C PMIC@50C VDD_IN 7208mW/7126mW VDD_CPU_GPU_CV 2371mW/2269mW VDD_SOC 1469mW/1469mW
04-21-2025 15:09:39 RAM 1554/6855MB (lfb 14x2MB) SWAP 231/3427MB (cached 3MB) CPU [20%@1420,100%@1421,18%@1419,27%@1419,8%@1420,0%@1420] EMC_FREQ 5%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@44.5C CPU@45.5C thermal@44.75C AO@44C GPU@44.5C PMIC@50C VDD_IN 6881mW/7044mW VDD_CPU_GPU_CV 2085mW/2207mW VDD_SOC 1469mW/1469mW
04-21-2025 15:09:39 RAM 1556/6855MB (lfb 14x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1420,90%@1420,15%@1419,9%@1420,0%@1420,0%@1420] EMC_FREQ 5%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@44.5C CPU@45.5C thermal@44.75C AO@44C GPU@44.5C PMIC@50C VDD_IN 6635mW/6942mW VDD_CPU_GPU_CV 1881mW/2126mW VDD_SOC 1429mW/1459mW
04-21-2025 15:09:40 RAM 1556/6855MB (lfb 14x2MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1420,91%@1419,9%@1420,9%@1419,0%@1420,0%@1420] EMC_FREQ 4%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@44.5C CPU@45.5C thermal@44.75C AO@43.5C GPU@44.5C PMIC@50C VDD_IN 6379mW/6829mW VDD_CPU_GPU_CV 1676mW/2036mW VDD_SOC 1429mW/1453mW
04-21-2025 15:09:40 RAM 1557/6855MB (lfb 14x2MB) SWAP 231/3427MB (cached 3MB) CPU [9%@1420,16%@1420,90%@1420,9%@1419,0%@1420,0%@1420] EMC_FREQ 4%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.75C AO@43.5C GPU@44.5C PMIC@50C VDD_IN 6257mW/6734mW VDD_CPU_GPU_CV 1554mW/1955mW VDD_SOC 1429mW/1449mW
04-21-2025 15:09:40 RAM 1558/6855MB (lfb 14x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,0%@1420,91%@1419,16%@1420,9%@1419,9%@1420] EMC_FREQ 4%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.8C AO@43.5C GPU@44.5C PMIC@50C VDD_IN 6134mW/6648mW VDD_CPU_GPU_CV 1472mW/1886mW VDD_SOC 1429mW/1446mW
04-21-2025 15:09:40 RAM 1557/6855MB (lfb 14x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1419,0%@1420,100%@1420,9%@1421,8%@1420,8%@1420] EMC_FREQ 3%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@44.5C CPU@45.5C thermal@44.8C AO@43.5C GPU@44.5C PMIC@50C VDD_IN 6011mW/6568mW VDD_CPU_GPU_CV 1349mW/1819mW VDD_SOC 1388mW/1438mW
04-21-2025 15:09:40 RAM 1558/6855MB (lfb 14x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1420,0%@1420,9%@1414,100%@1415,0%@1421,0%@1420] EMC_FREQ 3%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@44.5C CPU@45.5C thermal@44.8C AO@43.5C GPU@44.5C PMIC@50C VDD_IN 5929mW/6497mW VDD_CPU_GPU_CV 1267mW/1758mW VDD_SOC 1388mW/1433mW
04-21-2025 15:09:40 RAM 1559/6855MB (lfb 14x2MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1418,0%@1420,9%@1419,100%@1420,0%@1419,8%@1420] EMC_FREQ 3%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@44.5C CPU@45C thermal@44.8C AO@44C GPU@44.5C PMIC@50C VDD_IN 5889mW/6436mW VDD_CPU_GPU_CV 1226mW/1704mW VDD_SOC 1388mW/1428mW
04-21-2025 15:09:40 RAM 1559/6855MB (lfb 14x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1420,8%@1420,0%@1420,90%@1421,15%@1420,8%@1420] EMC_FREQ 2%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.8C AO@44C GPU@44.5C PMIC@50C VDD_IN 5807mW/6379mW VDD_CPU_GPU_CV 1145mW/1653mW VDD_SOC 1388mW/1425mW
04-21-2025 15:09:40 RAM 1561/6855MB (lfb 14x2MB) SWAP 231/3427MB (cached 3MB) CPU [27%@1417,0%@1420,27%@1422,90%@1421,16%@1420,0%@1421] EMC_FREQ 2%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.8C AO@44C GPU@44C PMIC@50C VDD_IN 5929mW/6342mW VDD_CPU_GPU_CV 1267mW/1621mW VDD_SOC 1388mW/1421mW
04-21-2025 15:09:41 RAM 1561/6855MB (lfb 14x2MB) SWAP 231/3427MB (cached 3MB) CPU [9%@1420,0%@1421,8%@1421,91%@1421,0%@1420,8%@1420] EMC_FREQ 2%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@44C CPU@45C thermal@44.8C AO@43.5C GPU@44.5C PMIC@50C VDD_IN 5848mW/6304mW VDD_CPU_GPU_CV 1185mW/1588mW VDD_SOC 1388mW/1419mW
04-21-2025 15:09:41 RAM 1562/6855MB (lfb 14x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1419,0%@1421,8%@1420,10%@1421,0%@1422,0%@1420] EMC_FREQ 2%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@44C CPU@45C thermal@44.8C AO@43.5C GPU@44C PMIC@50C VDD_IN 5848mW/6271mW VDD_CPU_GPU_CV 1145mW/1556mW VDD_SOC 1388mW/1417mW
04-21-2025 15:09:41 RAM 1565/6855MB (lfb 14x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1420,0%@1419,18%@1420,50%@1420,8%@1420,8%@1420] EMC_FREQ 2%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@44C CPU@45.5C thermal@44.8C AO@43.5C GPU@44.5C PMIC@50C VDD_IN 5889mW/6245mW VDD_CPU_GPU_CV 1145mW/1529mW VDD_SOC 1388mW/1415mW
04-21-2025 15:09:41 RAM 1568/6855MB (lfb 14x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1419,16%@1419,0%@1420,100%@1420,0%@1419,9%@1420] EMC_FREQ 1%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@44C CPU@45C thermal@44.8C AO@43.5C GPU@44C PMIC@50C VDD_IN 5929mW/6226mW VDD_CPU_GPU_CV 1226mW/1510mW VDD_SOC 1388mW/1413mW
