04-10-2025 18:05:57 RAM 1400/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [22%@1420,8%@1420,26%@1420,7%@1420,12%@1420,84%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@44.5C CPU@45.5C thermal@44.8C AO@44C GPU@44C PMIC@50C
04-10-2025 18:05:58 RAM 1472/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [3%@1420,1%@1420,2%@1420,1%@1420,28%@1420,71%@1420] EMC_FREQ 0% GR3D_FREQ 1% AUX@44.5C CPU@46C thermal@44.65C AO@44C GPU@44C PMIC@50C
04-10-2025 18:05:59 RAM 1628/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [16%@1420,1%@1420,1%@1420,0%@1420,13%@1420,98%@1420] EMC_FREQ 0% GR3D_FREQ 1% AUX@44.5C CPU@45.5C thermal@44.8C AO@44C GPU@44C PMIC@50C
04-10-2025 18:06:02 RAM 2047/6855MB (lfb 3x1MB) SWAP 83/3427MB (cached 0MB) CPU [0%@1420,0%@1420,0%@1420,0%@1420,0%@1420,98%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@44.5C CPU@45.5C thermal@44.65C AO@44C GPU@44C PMIC@50C
04-10-2025 18:06:03 RAM 2041/6855MB (lfb 9x1MB) SWAP 83/3427MB (cached 0MB) CPU [2%@1420,1%@1420,1%@1420,2%@1420,0%@1420,100%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@44.5C CPU@45.5C thermal@44.65C AO@43.5C GPU@44C PMIC@50C
04-10-2025 18:06:04 RAM 2046/6855MB (lfb 8x1MB) SWAP 83/3427MB (cached 0MB) CPU [29%@1190,1%@1190,24%@1190,2%@1420,0%@1420,26%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@44.5C CPU@45C thermal@44.65C AO@44C GPU@44.5C PMIC@50C
04-10-2025 18:06:08 RAM 2053/6855MB (lfb 2x1MB) SWAP 83/3427MB (cached 0MB) CPU [8%@1344,6%@1344,11%@1344,7%@1344,5%@1344,0%@1344] EMC_FREQ 0% GR3D_FREQ 74% AUX@44C CPU@45.5C thermal@44.95C AO@44C GPU@45C PMIC@50C
04-10-2025 18:06:09 RAM 2047/6855MB (lfb 8x1MB) SWAP 83/3427MB (cached 0MB) CPU [18%@1420,7%@1420,37%@1420,28%@1420,23%@1420,24%@1420] EMC_FREQ 0% GR3D_FREQ 36% AUX@44.5C CPU@45.5C thermal@44.95C AO@44C GPU@45C PMIC@50C
04-10-2025 18:06:10 RAM 2047/6855MB (lfb 8x1MB) SWAP 83/3427MB (cached 0MB) CPU [37%@1420,4%@1420,20%@1420,8%@1420,9%@1420,46%@1420] EMC_FREQ 0% GR3D_FREQ 98% AUX@44C CPU@46C thermal@44.95C AO@44C GPU@45C PMIC@50C
04-10-2025 18:06:11 RAM 2047/6855MB (lfb 8x1MB) SWAP 83/3427MB (cached 0MB) CPU [3%@1420,1%@1420,4%@1420,16%@1420,49%@1420,2%@1420] EMC_FREQ 0% GR3D_FREQ 52% AUX@44.5C CPU@45.5C thermal@44.95C AO@44C GPU@45C PMIC@50C
04-10-2025 18:06:12 RAM 2047/6855MB (lfb 8x1MB) SWAP 83/3427MB (cached 0MB) CPU [2%@1420,1%@1420,0%@1420,0%@1420,6%@1420,47%@1420] EMC_FREQ 0% GR3D_FREQ 73% AUX@44.5C CPU@45.5C thermal@44.95C AO@44C GPU@45.5C PMIC@50C
04-10-2025 18:06:13 RAM 2047/6855MB (lfb 8x1MB) SWAP 83/3427MB (cached 0MB) CPU [3%@1420,2%@1420,1%@1420,1%@1420,50%@1420,7%@1420] EMC_FREQ 0% GR3D_FREQ 73% AUX@44.5C CPU@45.5C thermal@45.1C AO@44C GPU@45C PMIC@50C
04-10-2025 18:06:14 RAM 2047/6855MB (lfb 8x1MB) SWAP 83/3427MB (cached 0MB) CPU [11%@1420,22%@1420,2%@1420,37%@1420,35%@1420,24%@1420] EMC_FREQ 0% GR3D_FREQ 55% AUX@44.5C CPU@45.5C thermal@45.1C AO@44C GPU@45.5C PMIC@50C
04-10-2025 18:06:15 RAM 2047/6855MB (lfb 8x1MB) SWAP 83/3427MB (cached 0MB) CPU [3%@1420,2%@1420,0%@1420,15%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@44.5C CPU@45C thermal@44.6C AO@44C GPU@44C PMIC@50C
04-10-2025 18:06:17 RAM 2053/6855MB (lfb 2x1MB) SWAP 83/3427MB (cached 0MB) CPU [9%@1420,14%@1420,11%@1420,15%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 65% AUX@44C CPU@45C thermal@44.8C AO@44C GPU@45C PMIC@50C
04-10-2025 18:06:18 RAM 2047/6855MB (lfb 8x1MB) SWAP 83/3427MB (cached 0MB) CPU [3%@1420,6%@1420,52%@1420,0%@1420,19%@1420,3%@1420] EMC_FREQ 0% GR3D_FREQ 14% AUX@44.5C CPU@45.5C thermal@44.75C AO@44C GPU@45C PMIC@50C
04-10-2025 18:06:19 RAM 2047/6855MB (lfb 8x1MB) SWAP 83/3427MB (cached 0MB) CPU [2%@1190,0%@1420,1%@1420,31%@1420,2%@1420,1%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@44.5C CPU@45.5C thermal@44.95C AO@44C GPU@44.5C PMIC@50C
04-10-2025 18:06:22 RAM 2053/6855MB (lfb 2x1MB) SWAP 83/3427MB (cached 0MB) CPU [20%@1420,0%@1420,0%@1420,8%@1420,1%@1420,12%@1420] EMC_FREQ 0% GR3D_FREQ 53% AUX@44.5C CPU@45.5C thermal@44.75C AO@44C GPU@45C PMIC@50C
04-10-2025 18:06:23 RAM 2047/6855MB (lfb 8x1MB) SWAP 83/3427MB (cached 0MB) CPU [4%@1420,0%@1420,2%@1420,1%@1420,31%@1420,21%@1420] EMC_FREQ 0% GR3D_FREQ 42% AUX@44.5C CPU@46C thermal@44.95C AO@44C GPU@45C PMIC@50C
