04-10-2025 18:10:04 RAM 1412/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [27%@1420,16%@1420,18%@1420,100%@1420,14%@1420,14%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@42C CPU@43C thermal@42.3C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:05 RAM 1432/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [2%@1420,2%@1420,2%@1420,100%@1420,1%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@41.5C CPU@43C thermal@41.95C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:06 RAM 1458/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [4%@1420,1%@1420,0%@1420,100%@1420,0%@1420,13%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@42C CPU@42.5C thermal@41.95C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:07 RAM 1497/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [1%@1420,3%@1420,2%@1420,100%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@42C CPU@43C thermal@41.95C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:08 RAM 1528/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [2%@1420,5%@1420,0%@1420,100%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@41.5C CPU@43C thermal@42.15C AO@41C GPU@41C PMIC@50C
04-10-2025 18:10:09 RAM 1541/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [3%@1420,3%@1420,1%@1420,100%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@42C CPU@42.5C thermal@42.15C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:10 RAM 1546/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [49%@1420,2%@1420,2%@1420,41%@1420,24%@1420,1%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@42C CPU@43C thermal@42C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:11 RAM 1556/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [2%@1420,3%@1420,68%@1420,0%@1420,32%@1420,13%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@42C CPU@42.5C thermal@42C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:12 RAM 1570/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [4%@1420,1%@1420,100%@1420,1%@1420,0%@1420,1%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@42C CPU@42.5C thermal@42.15C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:13 RAM 1602/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [3%@1420,3%@1420,100%@1420,1%@1420,1%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@42C CPU@42.5C thermal@42C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:14 RAM 1618/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [3%@1420,3%@1420,100%@1420,1%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@41.5C CPU@42.5C thermal@42.15C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:15 RAM 1637/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [2%@1420,3%@1420,100%@1420,1%@1420,0%@1420,1%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@41.5C CPU@42.5C thermal@41.8C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:16 RAM 1646/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [3%@1420,3%@1420,100%@1420,1%@1420,0%@1420,13%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@42C CPU@43C thermal@41.8C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:17 RAM 1664/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [3%@1420,4%@1420,100%@1420,1%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@42C CPU@43C thermal@42C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:18 RAM 1679/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [2%@1420,1%@1420,100%@1420,1%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@42C CPU@42.5C thermal@42C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:19 RAM 1679/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [3%@1420,3%@1420,100%@1420,0%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@42C CPU@43C thermal@42C AO@41.5C GPU@41.5C PMIC@50C
04-10-2025 18:10:20 RAM 1679/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [2%@1419,3%@1419,100%@1419,0%@1419,0%@1419,1%@1419] EMC_FREQ 0% GR3D_FREQ 0% AUX@41.5C CPU@43C thermal@42C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:21 RAM 1680/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [2%@1420,2%@1420,88%@1420,1%@1420,0%@1420,14%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@42C CPU@43C thermal@41.8C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:22 RAM 1679/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [3%@1420,3%@1420,100%@1420,1%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@42C CPU@43C thermal@42.15C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:23 RAM 1680/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [3%@1420,3%@1420,100%@1420,1%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@41.5C CPU@42.5C thermal@42C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:24 RAM 1680/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [3%@1420,2%@1420,100%@1420,0%@1420,1%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@41.5C CPU@43C thermal@42.15C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:25 RAM 1680/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [15%@1420,3%@1420,100%@1420,1%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@42C CPU@42.5C thermal@42.15C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:26 RAM 1680/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [3%@1420,3%@1420,85%@1420,0%@1420,0%@1420,14%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@41.5C CPU@42.5C thermal@41.95C AO@41C GPU@41.5C PMIC@50C
04-10-2025 18:10:27 RAM 1680/6855MB (lfb 16x4MB) SWAP 83/3427MB (cached 0MB) CPU [2%@1420,3%@1420,100%@1420,1%@1420,0%@1420,1%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@42C CPU@43C thermal@41.8C AO@41C GPU@41.5C PMIC@50C
