04-21-2025 12:48:00 RAM 3974/30587MB (lfb 12x4MB) SWAP 31/15294MB (cached 0MB) CPU [37%@2201,20%@2201,100%@2201,20%@2201,23%@729,14%@729,13%@729,20%@2201,28%@729,21%@2201,0%@2201,14%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.093C Tboard@38C SOC2@46.406C Tdiode@40C SOC0@47.437C CV1@-256C GPU@45.906C tj@50.875C SOC1@47.656C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2779mW/2779mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:48:00 RAM 3985/30587MB (lfb 12x4MB) SWAP 31/15294MB (cached 0MB) CPU [41%@2201,30%@2201,100%@2201,46%@2201,46%@1344,38%@1344,33%@1344,35%@1344,46%@1267,38%@1267,14%@1267,33%@1267] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.687C Tboard@38C SOC2@46.375C Tdiode@40C SOC0@47.593C CV1@-256C GPU@46.093C tj@50.687C SOC1@47.718C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 3178mW/2978mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:48:00 RAM 3988/30587MB (lfb 12x4MB) SWAP 31/15294MB (cached 0MB) CPU [28%@2201,6%@2201,100%@2201,0%@2201,26%@729,6%@729,0%@729,7%@729,28%@729,0%@729,7%@729,14%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.843C Tboard@38C SOC2@46.406C Tdiode@40C SOC0@47.218C CV1@-256C GPU@46.468C tj@50.843C SOC1@47.531C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 3178mW/3045mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:48:00 RAM 4000/30587MB (lfb 12x4MB) SWAP 31/15294MB (cached 0MB) CPU [26%@2201,0%@2201,100%@2201,0%@2201,15%@729,7%@729,7%@729,0%@729,26%@729,7%@729,7%@729,13%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.843C Tboard@38C SOC2@46.312C Tdiode@39.75C SOC0@47.187C CV1@-256C GPU@46.5C tj@50.843C SOC1@47.875C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2779mW/2978mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:48:00 RAM 4014/30587MB (lfb 12x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@2201,0%@2201,100%@2201,0%@2201,15%@729,7%@729,6%@729,0%@729,26%@729,0%@729,13%@729,7%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.531C Tboard@38C SOC2@46.312C Tdiode@40C SOC0@47.5C CV1@-256C GPU@46C tj@50.781C SOC1@47.718C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2779mW/2938mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1088mW NC 0mW/0mW
04-21-2025 12:48:00 RAM 4019/30587MB (lfb 12x4MB) SWAP 31/15294MB (cached 0MB) CPU [27%@2201,0%@2201,100%@2201,0%@2201,17%@729,0%@729,6%@729,6%@729,14%@729,0%@729,6%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.375C Tboard@38C SOC2@46.343C Tdiode@40C SOC0@47.406C CV1@-256C GPU@46.031C tj@50.375C SOC1@47.562C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2779mW/2912mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1091mW NC 0mW/0mW
04-21-2025 12:48:01 RAM 4033/30587MB (lfb 12x4MB) SWAP 31/15294MB (cached 0MB) CPU [23%@2201,14%@2201,100%@2201,0%@2201,16%@729,0%@729,7%@729,7%@729,15%@729,0%@729,0%@729,14%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.656C Tboard@38C SOC2@46.406C Tdiode@40C SOC0@47.343C CV1@-256C GPU@46.25C tj@50.468C SOC1@47.593C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2779mW/2893mW VIN_SYS_5V0 4636mW/4722mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1079mW NC 0mW/0mW
04-21-2025 12:48:01 RAM 4048/30587MB (lfb 12x4MB) SWAP 31/15294MB (cached 0MB) CPU [16%@2201,7%@2201,100%@2201,0%@2201,9%@729,20%@729,7%@729,0%@729,35%@729,0%@729,7%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.718C Tboard@38C SOC2@46.312C Tdiode@40C SOC0@47.25C CV1@-256C GPU@46.218C tj@50.718C SOC1@47.562C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2779mW/2878mW VIN_SYS_5V0 4636mW/4711mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1070mW NC 0mW/0mW
04-21-2025 12:48:01 RAM 4061/30587MB (lfb 12x4MB) SWAP 31/15294MB (cached 0MB) CPU [26%@2201,0%@2201,100%@2201,6%@2201,20%@729,7%@729,0%@729,6%@729,15%@729,7%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.687C Tboard@38C SOC2@46.375C Tdiode@40C SOC0@47.312C CV1@-256C GPU@46.562C tj@50.687C SOC1@47.843C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2867mW VIN_SYS_5V0 4636mW/4703mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1063mW NC 0mW/0mW
04-21-2025 12:48:01 RAM 4084/30587MB (lfb 12x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@2201,0%@2201,100%@2201,6%@2201,8%@729,13%@729,0%@729,0%@729,20%@729,0%@729,13%@729,6%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.75C Tboard@38C SOC2@46.406C Tdiode@40C SOC0@47.343C CV1@-256C GPU@46.312C tj@50.562C SOC1@47.625C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2779mW/2858mW VIN_SYS_5V0 4636mW/4696mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1058mW NC 0mW/0mW
04-21-2025 12:48:01 RAM 4089/30587MB (lfb 12x4MB) SWAP 31/15294MB (cached 0MB) CPU [23%@2201,6%@2201,100%@2201,0%@2201,37%@729,14%@729,7%@729,0%@729,16%@729,13%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.718C Tboard@38C SOC2@46.406C Tdiode@40C SOC0@47.593C CV1@-256C GPU@46.562C tj@50.718C SOC1@47.812C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2851mW VIN_SYS_5V0 4636mW/4691mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1053mW NC 0mW/0mW
